#trajectory rmse mean median std min max compared_pose_pairs
straight-line-trajectory-1.txt 0.47334188680887357 0.4606498069139968 0.46622548295231026 0.10887744117989681 0.1745002641248297 0.7475107809896856 1478
straight-line-trajectory-2.txt 0.4716461211678604 0.45961049408943805 0.4642021959204429 0.10586905749816944 0.1943965715186926 0.7129624537719293 1490
straight-line-trajectory-3.txt 0.48692124150019545 0.4735047506487636 0.4926251325608186 0.11351452126113123 0.1929273255988744 0.7174422519893833 1495
straight-line-trajectory-4.txt 0.4623579719443654 0.4495446733229992 0.4569623101197876 0.10809477742899765 0.16685983369251756 0.7418594522376877 1511
straight-line-trajectory-5.txt 0.415976475475983 0.3963062514302774 0.38896048432842034 0.1264032563927954 0.15389056608190935 0.6586349566360425 1537
eight-trajectory-1.txt 0.5085582181819346 0.49648113744858346 0.5007763844263413 0.11017232609936531 0.14873225737354867 0.8202600380853753 1952
eight-trajectory-2.txt 0.5156997057287941 0.5017777376075349 0.5070320451914969 0.1190180176705557 0.081714948437639 0.9273287917724774 1984
eight-trajectory-3.txt 0.4724846078669253 0.46497849483531756 0.4763732838078772 0.08388506429540751 0.14201772065129256 0.5907016493581473 1875
eight-trajectory-4.txt 0.4948747641389291 0.4872167619430608 0.49773410096842735 0.08672288661754463 0.25907215056142363 0.621690411531207 1962
eight-trajectory-5.txt 0.4837651790925818 0.47669120415752264 0.48939655441617114 0.08242720656026631 0.22514216351844762 0.6073109622448463 1943
square-trajectory-1.txt 0.3084834284524055 0.278794253474071 0.28747040383911554 0.1320446510070963 0.028701100745732448 0.6398059885704118 2104
square-trajectory-2.txt 0.3167544274309722 0.28522577796591886 0.2894753268432614 0.13776655211211247 0.05590568326800456 0.6425726968124472 2073
square-trajectory-3.txt 0.3025454151143081 0.273943168096062 0.27351982983104717 0.12840899057379795 0.028437860596987174 0.6521111163361 2089
square-trajectory-4.txt 0.34405193366236236 0.3106108075430646 0.3204637399102292 0.14796168184450947 0.03421861909447941 0.7000422631870719 2074
square-trajectory-5.txt 0.3061404199525335 0.278540677175171 0.2885985122609874 0.12703168064506873 0.00685476369202062 0.6471309021723667 2104
