#trajectory rmse mean median std min max compared_pose_pairs
straight-line-trajectory-1.txt 0.005922840868653819 0.004567198320429746 0.0029576621222928094 0.003771040102844258 0.0005874409829145226 0.018811960888009554 182
straight-line-trajectory-2.txt 0.006530180113406292 0.005200582650106422 0.0038529070506677886 0.003949328096390455 0.0006357365686113275 0.019255167658559332 189
straight-line-trajectory-3.txt 0.005949692151443931 0.004573244704973399 0.0028596432501927053 0.003805820485176131 0.0006108060934211189 0.019398208819565613 194
straight-line-trajectory-4.txt 0.00569441136601938 0.004249180365878135 0.0028138706840377904 0.0037908820904489302 0.0005542555781056297 0.023659946950672826 192
straight-line-trajectory-5.txt 0.006179949084357576 0.004755027766598947 0.0033360330775525143 0.003947338549469132 0.0006154159403455143 0.023865202336684554 187
eight-trajectory-1.txt 0.00600718162861132 0.005009734131363132 0.0038676643945053306 0.0033149351505241597 0.0003901652226857184 0.01628278711568886 245
eight-trajectory-2.txt 0.005404522654410514 0.004444922045767174 0.0034247048783584023 0.0030743345831398096 0.0003318919672851327 0.01507626292944463 264
eight-trajectory-3.txt 0.0053370395399518445 0.004371888607934696 0.003439667349447622 0.003061140482045903 0.00042091078583072724 0.015618763373105193 269
eight-trajectory-4.txt 0.005563128745380715 0.004646547713709188 0.0036969005159788342 0.0030590841410306335 0.0002762861376639592 0.01489972786952678 257
eight-trajectory-5.txt 0.005802152340343284 0.004725872965873163 0.003637076823118409 0.003366169409132619 0.0002943110234155733 0.015078016807316576 257
square-trajectory-1.txt 0.005865290323337865 0.004632608815342437 0.0035587694745755918 0.003597299840304161 0.0007811193317803572 0.019297818168247688 259
square-trajectory-2.txt 0.005289026102745627 0.004286755846616073 0.0033483638814283284 0.003097986673152016 0.00031945655973335117 0.017517360569214293 280
square-trajectory-3.txt 0.005564080399620328 0.004484558705141041 0.003348677165607355 0.0032935883035957654 0.00047234325735260116 0.016950737222674466 264
square-trajectory-4.txt 0.005500484146973234 0.004338944246252529 0.002985776619602689 0.003380663940561964 0.0008215465219513331 0.019590362600444097 253
square-trajectory-5.txt 0.005512822489347671 0.004406390861061323 0.0033482985012923483 0.003312843397840094 0.0006326654337544146 0.01957979168909175 270
square-trajectory.txt 0.9182316879404452 0.8360250069698908 0.7614614280451211 0.37975205128998746 0.05530841209481267 1.5791751830900085 2039
